novel_name,novel_size,updatetime,novel_url,novel_info
反派女皇偷听我内心还不让我躺平？(全本),3.38 MB,2021-11-30,https://www.trxs.cc/tongren/6399.html,罗杰一觉醒来，穿越成了西幻RPG大作《永夜难明》，最终反派“永夜女皇”手下右相的弟弟。
猛男并不想要日常(1-927),5.38 MB,2021-11-30,https://www.trxs.cc/tongren/5109.html,看着校园中青春靓丽的JK，姚尧凌不为所动。
反派：偷看日记，女主们人设崩了(1-219),2.27 MB,2021-11-30,https://www.trxs.cc/tongren/6398.html,穿越到书中，获得写日记就变强系统。
我成了她们黑化后唯一的光(1-289),1.76 MB,2021-11-29,https://www.trxs.cc/tongren/6397.html,意外重生回了数十年前，深知未来灭世大战有多恐怖的白羽准备当一条没有梦想的咸鱼，反正现在再厉害，最后也会被那几个女魔头打死。
从东京反派开始恋爱游戏(全本),3.21 MB,2021-11-25,https://www.trxs.cc/tongren/6384.html,当桐生龙斗穿越后，发现自己的身份居然是恋爱游戏里的反派少爷。
二次元：本大爷才是主角(全本),2.79 MB,2021-11-25,https://www.trxs.cc/tongren/6383.html,穿越到二次元世界，如月雨露的眼中，究竟看到了什么？
我上古天师的身份被向往曝光了(1-182),1.16 MB,2021-11-24,https://www.trxs.cc/tongren/6381.html,一次山体滑坡，将在山中闭关多年上古天师萧尘惊醒，却发现外界已经物是人非。
放开女主让我来(1-1537),10.53 MB,2021-11-24,https://www.trxs.cc/tongren/4796.html,魔尊顾倾城的徒弟全部为了一个叫凤雅的女人跑路了，打不过凤雅的魔尊顾倾城终于想到了最佳解决方案。
从神代开始的综漫(1-525),3.33 MB,2021-11-24,https://www.trxs.cc/tongren/6380.html,穿越到神代，一时口嗨，让宙斯提前了几万年失踪。
沉迷扮演的我貌似把世界画风搞歪了(1-1028),6.00 MB,2021-11-23,https://www.trxs.cc/tongren/6378.html,热情boss希儿芙乐艾，最强设计师迪亚波罗，神罗1st特种兵秋月真理奈，黑衣组织首领江户川柯南。
穿越后，我的修改器消失了(1-414),3.84 MB,2021-11-23,https://www.trxs.cc/tongren/6379.html,在修仙游戏里使用修改器。
圣光啊，这只精灵值得一锤(第六卷⊙第807章),6.50 MB,2021-11-23,https://www.trxs.cc/tongren/5428.html,某只在地球上喝凉水都塞牙的少年，在获得了游戏中圣骑士的能力穿越到异界，本以为等待着他的是热血的征程，但让他万万没有想到的是穿越的竟然是魔改版的宠物小精灵的世界。
大明：坚持爆兵六十亿不动摇(1-527),2.76 MB,2021-11-23,https://www.trxs.cc/tongren/6377.html,重生明末，成为被崇祯流放琼州的桂王，觉醒帝国时代游戏，开始爆兵之路。
游戏王之带着决斗链接系统闯学院(1-942),5.86 MB,2021-11-18,https://www.trxs.cc/tongren/6358.html,牌佬程峰被游戏王位面的决斗者学院选中，成为其中的一名新生，在入学当天，他意外发现了自己拥有“决斗链接”的系统作为外挂，这东西好是好，可……为什么是国服的啊！
冬木市今天的日常(1-641),4.06 MB,2021-11-18,https://www.trxs.cc/tongren/6357.html,“森罗万象是万有之力，万物流转，真界转生之力。”
我的无限流队友果然有问题!(1-第七卷11章),5.43 MB,2021-11-18,https://www.trxs.cc/tongren/5803.html,北原空：“雪乃你手里拿的什么？”
诸天入侵之我有神级公司(全本),1.12 MB,2021-11-17,https://www.trxs.cc/tongren/6356.html,苏泽穿越平行世界，按照系统要求开了一家名字叫做【方舟】的公司。
从崩坏开始的二次缘(1-313),2.68 MB,2021-11-17,https://www.trxs.cc/tongren/6355.html,白洛穿越到崩坏世界已经整整三年了。
从零一开始，取代骑士主角(1-359),1.54 MB,2021-11-17,https://www.trxs.cc/tongren/6354.html,【假面骑士文】
万千世界许愿系统(1-1349),12.70 MB,2021-11-16,https://www.trxs.cc/tongren/6353.html,红楼梦里吟过诗，景阳冈上打过虎。
宇智波家的肉装剑士(卷八08章),2.63 MB,2021-11-16,https://www.trxs.cc/tongren/6352.html,有肉才能输出，苟住才能无敌。
从海军大将到护庭十三队(1-665),6.86 MB,2021-11-16,https://www.trxs.cc/tongren/6351.html,新世界，蒂奇的手中沾满了鲜血，萨奇的尸体就在他脚下，屋子显得有些凌乱，看上去似乎被人翻找了好几遍。
精灵:开局一只皮卡鼬(1-401),2.14 MB,2021-11-11,https://www.trxs.cc/tongren/6325.html,顾秋穿越到现实与精灵融合的世界。
最终成为反英雄才不是我的错(全本),3.41 MB,2021-11-10,https://www.trxs.cc/tongren/6324.html,战国结束，型月现代加综漫开启中
史上最强英梨梨(1-294),3.07 MB,2021-11-10,https://www.trxs.cc/tongren/6323.html,转世成为英梨梨后，等着她的本该是作为普通的千金大xiao姐在普通的日常世界度过普通的一生，可是为什么会变成这样呢……
进化：开局变成黑熊(至399章),3.14 MB,2021-11-10,https://www.trxs.cc/tongren/6322.html,叶阳穿越而来，变成一头躺在熊妈怀里的幼熊宝宝。令他绝望的是，他的种族是亚洲黑熊，就是一直让毛子欺负熊......
都市：我，编造了超次元聊天群(1-635),2.85 MB,2021-11-10,https://www.trxs.cc/tongren/6321.html,失业青年李远突然能够与任何人建立隔空的精神交流，就如同是脑内聊天**一般…于是，他有了一个大胆的计划，要撒一个弥天大谎！
海贼世界里我吃了崩坏果实(全本),6.18 MB,2021-11-09,https://www.trxs.cc/tongren/6320.html, 伟大航道一间不知名的酒馆里。
从木叶开始放置成神(1-295),1.86 MB,2021-11-09,https://www.trxs.cc/tongren/6319.html,宇智波桐京穿越到火影世界。
人在骑士：未婚妻门矢小夜(1-686),2.90 MB,2021-11-09,https://www.trxs.cc/tongren/6318.html,林枫重生到了假面骑士零一世界。
我的朋友都是女孩子(全本),3.41 MB,2021-11-08,https://www.trxs.cc/tongren/6314.html,龙哥变成女人那一天，我从床上起来时，已经快中午了。
开局编造了灵气复苏(1-312),2.00 MB,2021-11-05,https://www.trxs.cc/tongren/6305.html,穿越到了平行世界，可是林默发现这个世界完全超出了自己的认知――
妖魔复苏：开局满级五雷正法！(1-546),3.22 MB,2021-11-05,https://www.trxs.cc/tongren/6304.html,一觉醒来，姜楚然发现世界变了，变得处处充满诡异，恐怖的事情接连发生。
综漫：本大爷不会喜欢任何一个(全本),1.17 MB,2021-11-04,https://www.trxs.cc/tongren/6303.html,穿梭在两个世界的白羽，以为其中一个世界很普通。
从玉藻前开始东京除妖(1-4卷105章),2.92 MB,2021-11-04,https://www.trxs.cc/tongren/6302.html,人在东京，刚刚穿越。
诸天在线，开局盘点至高神话战力(1-138),1.26 MB,2021-11-04,https://www.trxs.cc/tongren/6301.html,资深神话爱好者秦牧，一天突然受到一个名为诸天万界网的邀请。
变成芙兰朵露后该怎么办(1-第三卷第129章),5.14 MB,2021-11-03,https://www.trxs.cc/tongren/6300.html,金发一米6的14岁神似女孩的少年羽岚在一次被预谋的飞机意外坠毁事件中不幸遇难
我的妈妈是凯尔希(全本),5.31 MB,2021-11-03,https://www.trxs.cc/tongren/6299.html,「简介：【第五卷已经开始，不要再出门了呀~】
箱庭：开局融合逆回十六夜(1-400),2.15 MB,2021-11-03,https://www.trxs.cc/tongren/6298.html,穿越箱庭，获得幻想融合系统，开局融合逆回十六夜。
人在超神开局获得冥王模板(全本),1.87 MB,2021-11-02,https://www.trxs.cc/tongren/6297.html,苏荼穿越到了超神世界，获得了人物模块系统，开局就获得了超兽武装冥王的模块，自此一个至强主神镇压了数万年之久。
播放动漫名场面，开局牛头对小乌(1-111),1.18 MB,2021-10-29,https://www.trxs.cc/tongren/6283.html,楚刑获得了诸天综漫系统，只要剪辑视频并发布，就能令所有动漫世界的角色强制观看。
巫师的次元物语(1-945),4.29 MB,2021-10-28,https://www.trxs.cc/tongren/6282.html,当一名从小在深山长大的巫师来到二次元融合的世界会产生什么“爱恨情仇”。
